Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,1990,1990,ha,2300000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,1990,1990,kg/ha,2695.7,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,1990,1990,t,6200000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,1991,1991,ha,2450000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,1991,1991,kg/ha,2653.1,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,1991,1991,t,6500000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,1992,1992,ha,2550000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,1992,1992,kg/ha,2666.7,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,1992,1992,t,6800000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,1993,1993,ha,2700000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,1993,1993,kg/ha,2666.7,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,1993,1993,t,7200000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,1994,1994,ha,2750000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,1994,1994,kg/ha,2636.4,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,1994,1994,t,7250000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,1995,1995,ha,2938000,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,1995,1995,kg/ha,2654.9,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,1995,1995,t,7800000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,1996,1996,ha,2950000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,1996,1996,kg/ha,2627.1,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,1996,1996,t,7750000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,1997,1997,ha,2950000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,1997,1997,kg/ha,2627.1,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,1997,1997,t,7750000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,1998,1998,ha,2950000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,1998,1998,kg/ha,2644.1,E,Estimated value,
